INFOS FHD,#genre#
FR| 6TER FHD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/506618
FR| C8 FHD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/506630
FR| TMC FHD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/506628
FR| CHÉRIE 25 FHD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/506615
FR| MYSTÈRE FHD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/1507794
FR| TALK SPORT FHD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/1507792

RU MOVIES,#genre#
RU| TV1000,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132749
RU| TV1000 ACTION,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132750
RU| TV1000 COMEDY HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132751
RU| TV1000 MEGAHIT HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132752
RU| TV1000 PREMIUM HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132753
RU| TV1000 РУССКОЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132754
RU| VIASAT TV1000 RUSSKOEKINO,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132784
RU| FX,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132490
RU| KINEKO HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132491
RU| FX LIFE,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132492
RU| SERIAL,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132698
RU| КОМЕДИЯ ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132532
RU| НАШЕ КРУТОЕ ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132623
RU| НАШЕ ЛЮБИМОЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132624
RU| НАШЕ НОВОЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132608
RU| НАШЕ РОДНОЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132625
RU| НАШЕ РОДНОЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/300891
RU| RTVI НАШЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132680
RU| ЛЮБИМОЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132553
RU| ДОМ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132454
RU| ДОМ КИНО ПРЕМИУМ HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132457
RU| ДОМ КИНО ПРЕМИУМ HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/300751
RU| DORAMA,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132458
RU| ЕВРОКИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132482
RU| СИНЕМА ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132438
RU| КИНОХИТ ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132540
RU| КИНОКОМЕДИЯ ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132539
RU| КИНОКОМЕДИЯ ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/1148926
RU| КИНОМИКС,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132541
RU| КИНОПОКАЗ 2 HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132543
RU| КИНОПРЕМЬЕРА HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132529
RU| КИНОСЕРИЯ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132530
RU| КИНОСЕРИЯ HD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/300823
RU| КИНОСВИДАНИЕ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132531
RU| КИНО ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132528
RU| КИНО ТВ,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/300814
RU| VIJU SERIAL FHD,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/1148895
RU| МУЖСКОЕ КИНО,http://tr.simotvgold.com:80/57f85203e9/85d9faf1be/132604
